agency_id,route_id,route_type,route_short_name,route_long_name,route_desc,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
BUS,C36,3,C36,Troncal C36 - 612,,,4C8D2B,FFFFFF,,,
BUS,C37-V1,3,C37-V1,"Troncal C37-V1 - 614 ""BT""",,,4C8D2B,FFFFFF,,,
BUS,C37-V2,3,C37-V2,"Troncal C37-V2 - 614 ""Rosario""",,,4C8D2B,FFFFFF,,,
BUS,C38-V1,3,C38-V1,"Troncal C38-V1 - 615 ""Vocacional - La Punta""",,,4C8D2B,FFFFFF,,,
BUS,C38-V2,3,C38-V2,"Troncal C38-V2 - 615 ""Vocacional - CU Tonala""",,,4C8D2B,FFFFFF,,,
BUS,C39-V1,3,C39-V1,"Troncal C39-V1 - 615 ""Hospicio""",,,4C8D2B,FFFFFF,,,
BUS,C39-V2,3,C39-V2,"Troncal C39-V2 - 615 ""Hospital Civil""",,,4C8D2B,FFFFFF,,,
BUS,C40,3,C40,"Troncal C40 - 619 ""Naranja""",,,4C8D2B,FFFFFF,,,
BUS,C41-V1,3,C41-V1,"Troncal C41-V1 - 619 ""Amarilla Chulavista - Central de Autobuses""",,,4C8D2B,FFFFFF,,,
BUS,C41-V2,3,C41-V2,"Troncal C41-V2 - 619 ""Amarilla Cantaros - Central de Autobuses""",,,4C8D2B,FFFFFF,,,
BUS,C42,3,C42,Troncal C42 - 624,,,4C8D2B,FFFFFF,,,
BUS,C43-V1,3,C43-V1,"Troncal C43-V1 - 636 ""Belenes""",,,4C8D2B,FFFFFF,,,
BUS,C43-V2,3,C43-V2,"Troncal C43-V2 - 636 ""Haciendas del Valle""",,,4C8D2B,FFFFFF,,,
BUS,C43-V3,3,C43-V3,"Troncal C43-V3 - 636 ""Valdepeñas""",,,4C8D2B,FFFFFF,,,
BUS,C44,3,C44,"Troncal C44 - 637 ""Martinica""",,,4C8D2B,FFFFFF,,,
BUS,C45-V1,3,C45-V1,"Troncal C45-V1 - 637 ""Centinela""",,,4C8D2B,FFFFFF,,,
BUS,C45-V2,3,C45-V2,"Troncal C45-V2 - 637 ""Cinco Esquinas""",,,4C8D2B,FFFFFF,,,
BUS,C46-V1,3,C46-V1,"Troncal C46-V1 - 643 ""Altamira""",,,4C8D2B,FFFFFF,,,
BUS,C46-V2,3,C46-V2,"Troncal C46-V2 - 643 ""Urbiquintas""",,,4C8D2B,FFFFFF,,,
BUS,C47-V1,3,C47-V1,"Troncal C47-V1 - 644A ""Juntas - Vergel""",,,4C8D2B,FFFFFF,,,
BUS,C47-V2,3,C47-V2,"Troncal C47-V2 - 644A ""Km 13""",,,4C8D2B,FFFFFF,,,
BUS,C48,3,C48,"Troncal C48 - 644A ""Tapatio""",,,4C8D2B,FFFFFF,,,
BUS,C49-V1,3,C49-V1,"Troncal C49-V1 - 645 ""Arboledas""",,,4C8D2B,FFFFFF,,,
BUS,C49-V2,3,C49-V2,"Troncal C49-V2 - 645 ""Topacio""",,,4C8D2B,FFFFFF,,,
BUS,C50-V1,3,C50-V1,"Troncal C50-V1 - 645 ""Chulavista - Aqua""",,,4C8D2B,FFFFFF,,,
BUS,C50-V2,3,C50-V2,"Troncal C50-V2 - 645 ""Villas de la Hacienda""",,,4C8D2B,FFFFFF,,,
BUS,C51-V1,3,C51-V1,"Troncal C51-V1 - 645A ""Prepa 13""",,,4C8D2B,FFFFFF,,,
BUS,C51-V2,3,C51-V2,"Troncal C51-V2 - 645A ""Cochinita""",,,4C8D2B,FFFFFF,,,
BUS,C53,3,C53,Troncal C53 - 19A,,,4C8D2B,FFFFFF,,,
BUS,C54,3,C54,Troncal C54 - 51C,,,4C8D2B,FFFFFF,,,
BUS,C58-V1,3,C58-V1,"Troncal C58-V1 - 644B ""CU Tonala - Pajaritos""",,,4C8D2B,FFFFFF,,,
BUS,C58-V2,3,C58-V2,"Troncal C58-V2 - 644B ""CU Tonala""",,,4C8D2B,FFFFFF,,,
BUS,C60,3,C60,"Troncal C60 - 644B ""Santa Isabel""",,,4C8D2B,FFFFFF,,,
BUS,C61,3,C61,"Troncal C61 - 644B ""Santibañez - Emiliano Zapata""",,,4C8D2B,FFFFFF,,,
BUS,C62,3,C62,"Troncal C62 - 644B ""Carril""",,,4C8D2B,FFFFFF,,,
BUS,C63,3,C63,"Troncal C63 - 644B ""SB""",,,4C8D2B,FFFFFF,,,
BUS,C64,3,C64,Troncal C64 - 27,,,4C8D2B,FFFFFF,,,
BUS,C65,3,C65,Troncal C65 - 27A,,,4C8D2B,FFFFFF,,,
BUS,C66-V1,3,C66-V1,Troncal C66-V1 - 249,,,4C8D2B,FFFFFF,,,
BUS,C66-V2,3,C66-V2,"Troncal C66-V2 - 249 ""Jardines de la Cruz""",,,4C8D2B,FFFFFF,,,
BUS,C67-V1,3,C67-V1,"Troncal C67-V1 - 171 ""Roja""",,,4C8D2B,FFFFFF,,,
BUS,C67-V2,3,C67-V2,"Troncal C67-V2 - 171 ""Verde""",,,4C8D2B,FFFFFF,,,
BUS,C69,3,C69,Troncal C69 - 321,,,4C8D2B,FFFFFF,,,
BUS,C70,3,C70,"Troncal C70 - 358 ""Las Aguilas""",,,4C8D2B,FFFFFF,,,
BUS,C71,3,C71,Troncal C71 - 604A,,,4C8D2B,FFFFFF,,,
BUS,C73,3,C73,Troncal C73 - 15,,,4C8D2B,FFFFFF,,,
BUS,C74,3,C74,Troncal C74 - 101,,,4C8D2B,FFFFFF,,,
BUS,C75,3,C75,Troncal C75 - 611A,,,4C8D2B,FFFFFF,,,
BUS,C76-V1,3,C76-V1,"Troncal C76-V1 - 623A ""Real del Sol-Paseos del Prado Directa""",,,4C8D2B,FFFFFF,,,
BUS,C76-V2,3,C76-V2,"Troncal C76-V2 - 623A ""Real del Sol-Paseos del Prado""",,,4C8D2B,FFFFFF,,,
BUS,C77,3,C77,Troncal C77 - 623A,,,4C8D2B,FFFFFF,,,
BUS,C78-V1,3,C78-V1,Troncal C78-V1 - 619A,,,4C8D2B,FFFFFF,,,
BUS,C79,3,C79,Troncal C79 - 640,,,4C8D2B,FFFFFF,,,
BUS,C80-V1,3,C80-V1,"Troncal C80-V1 - 619 ""Verde Chulavista""",,,4C8D2B,FFFFFF,,,
BUS,C80-V2,3,C80-V2,"Troncal C80-V2 - 619 ""Verde 8 de julio""",,,4C8D2B,FFFFFF,,,
BUS,C83,3,C83,"Troncal C83 - 644A ""Liebres""",,,4C8D2B,FFFFFF,,,
BUS,C85,3,C85,Troncal C85 - 631A,,,4C8D2B,FFFFFF,,,
BUS,C86,3,C86,"Troncal C86 - 644B ""IBM Victoria""",,,4C8D2B,FFFFFF,,,
BUS,C88-V2,3,C88-V2,"Troncal C88-V2 - 161 ""Mirador del Bosque""",,,4C8D2B,FFFFFF,,,
BUS,C89,3,C89,Troncal C89 - 162,,,4C8D2B,FFFFFF,,,
BUS,C90,3,C90,Troncal C90 - 165,,,4C8D2B,FFFFFF,,,
BUS,C92,3,C92,Troncal C92 - 167,,,4C8D2B,FFFFFF,,,
BUS,C93,3,C93,Troncal C93 - 168,,,4C8D2B,FFFFFF,,,
BUS,C94,3,C94,Troncal C94 - 169,,,4C8D2B,FFFFFF,,,
BUS,C95,3,C95,Troncal C95 - 172,,,4C8D2B,FFFFFF,,,
BUS,C96-V2,3,C96-V2,"Troncal C96-V2 - 275B ""Santibañez""",,,4C8D2B,FFFFFF,,,
BUS,C97-V1,3,C97-V1,"Troncal C97-V1 - 275B ""San Martin de las  Flores""",,,4C8D2B,FFFFFF,,,
BUS,C97-V2,3,C97-V2,"Troncal C97-V2 - 275B ""La Capilla""",,,4C8D2B,FFFFFF,,,
BUS,C99,3,C99,"Troncal C99 - 181 ""H. Santa Fe""",,,4C8D2B,FFFFFF,,,
BUS,T01,3,T01,"Troncal T01-63  ""18 de Marzo""",,,D40000,FFFFFF,,,
BUS,T02,3,T02,"Troncal T02-80  ""Artesanos""",,,D40000,FFFFFF,,,
BUS,T02-A02,3,T02-A02,"Alimentadora T02-A02 ""Artesanos""",,,4C8D2B,FFFFFF,,,
BUS,T03,3,T03,"Troncal T03-66 ""Belisario""",,,D40000,FFFFFF,,,
BUS,T03-C01,3,T03-C01,"Complementaira T03-C01 ""Belisario Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T04A-1,3,T04A-1,"Troncal T04A-1 - 646 ""Lazaro Cardenas""",,,D40000,FFFFFF,,,
BUS,T04A-2,3,T04A-2,"Troncal T04A-2 - 646 ""Lazaro Cardenas""",,,D40000,FFFFFF,,,
BUS,T04A-C01,3,T04A-C01,"Troncal ""Troncal 04A-C01 - Lázaro Cárdenas Complementaria""",,,4C8D2B,FFFFFF,,,
BUS,T04B-1,3,T04B-1,"Troncal T04B-1 - 59A ""Lazaro Cardenas""",,,D40000,FFFFFF,,,
BUS,T04B-2,3,T04B-2,"Troncal T04B-2 - 59B ""Lazaro Cardenas""",,,D40000,FFFFFF,,,
